"country","department","municipality","COD","scale","year","cutaneous_leishmaniasis","malaria","Upper respiratory tract infections","Lower respiratory tract infections"
"Suriname","Midden Suriname",NA,"SR","region",2000,NA,934,615,93
"Suriname","Midden Suriname",NA,"SR","region",2001,NA,1041,511,118
"Suriname","Midden Suriname",NA,"SR","region",2002,NA,1086,870,225
"Suriname","Midden Suriname",NA,"SR","region",2003,NA,1160,826,241
"Suriname","Midden Suriname",NA,"SR","region",2004,NA,718,1037,200
"Suriname","Midden Suriname",NA,"SR","region",2005,NA,686,1711,398
"Suriname","Midden Suriname",NA,"SR","region",2006,10,77,1357,635
"Suriname","Midden Suriname",NA,"SR","region",2007,10,25,1312,387
"Suriname","Midden Suriname",NA,"SR","region",2008,12,2,1081,315
"Suriname","Midden Suriname",NA,"SR","region",2009,7,0,953,188
"Suriname","Midden Suriname",NA,"SR","region",2010,8,7,998,166
"Suriname","Midden Suriname",NA,"SR","region",2011,7,1,854,194
"Suriname","Midden Suriname",NA,"SR","region",2012,4,0,742,180
"Suriname","Midden Suriname",NA,"SR","region",2013,4,0,976,235
"Suriname","Midden Suriname",NA,"SR","region",2014,8,0,890,237
"Suriname","Midden Suriname",NA,"SR","region",2015,8,0,926,232
"Suriname","Midden Suriname",NA,"SR","region",2016,0,0,902,172
"Suriname","Midden Suriname",NA,"SR","region",2017,1,0,709,193
"Suriname","Midden Suriname",NA,"SR","region",2018,0,0,763,102
"Suriname","Midden Suriname",NA,"SR","region",2019,0,0,828,103
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2000,NA,627,1678,625
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2001,NA,694,1992,613
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2002,NA,1385,2489,719
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2003,NA,2446,2290,683
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2004,NA,937,2534,643
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2005,NA,781,2546,659
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2006,3,205,3582,990
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2007,1,78,3050,824
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2008,7,38,2951,658
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2009,4,71,2473,640
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2010,19,71,2511,628
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2011,2,34,2154,652
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2012,5,13,2329,684
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2013,8,14,2178,621
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2014,6,8,2405,591
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2015,4,6,2682,646
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2016,1,28,2324,618
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2017,0,5,1761,470
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2018,0,12,1330,365
"Suriname","Bovenlandse  Inheemsen & West Sur",NA,"SR","region",2019,0,69,1541,410
"Suriname","Boven Suriname",NA,"SR","region",2000,NA,2488,9640,2144
"Suriname","Boven Suriname",NA,"SR","region",2001,NA,4534,9365,2217
"Suriname","Boven Suriname",NA,"SR","region",2002,NA,3428,10506,3474
"Suriname","Boven Suriname",NA,"SR","region",2003,NA,1345,9439,2587
"Suriname","Boven Suriname",NA,"SR","region",2004,NA,3602,10199,2003
"Suriname","Boven Suriname",NA,"SR","region",2005,NA,1840,8440,1501
"Suriname","Boven Suriname",NA,"SR","region",2006,77,153,10856,2271
"Suriname","Boven Suriname",NA,"SR","region",2007,53,6,9322,1938
"Suriname","Boven Suriname",NA,"SR","region",2008,42,7,8465,1892
"Suriname","Boven Suriname",NA,"SR","region",2009,24,1,8147,1762
"Suriname","Boven Suriname",NA,"SR","region",2010,67,0,7448,1812
"Suriname","Boven Suriname",NA,"SR","region",2011,29,0,6102,1367
"Suriname","Boven Suriname",NA,"SR","region",2012,31,0,6657,1406
"Suriname","Boven Suriname",NA,"SR","region",2013,16,0,6591,1220
"Suriname","Boven Suriname",NA,"SR","region",2014,38,0,6115,1155
"Suriname","Boven Suriname",NA,"SR","region",2015,23,0,6823,1185
"Suriname","Boven Suriname",NA,"SR","region",2016,53,0,6507,804
"Suriname","Boven Suriname",NA,"SR","region",2017,10,0,4750,566
"Suriname","Boven Suriname",NA,"SR","region",2018,18,0,5154,378
"Suriname","Boven Suriname",NA,"SR","region",2019,22,0,5962,393
"Suriname","Brokopondo",NA,"SR","region",2000,NA,1186,2750,523
"Suriname","Brokopondo",NA,"SR","region",2001,NA,1381,3527,776
"Suriname","Brokopondo",NA,"SR","region",2002,NA,1615,4318,540
"Suriname","Brokopondo",NA,"SR","region",2003,NA,5817,4747,958
"Suriname","Brokopondo",NA,"SR","region",2004,NA,5633,5644,673
"Suriname","Brokopondo",NA,"SR","region",2005,NA,4234,4976,652
"Suriname","Brokopondo",NA,"SR","region",2006,33,241,6101,814
"Suriname","Brokopondo",NA,"SR","region",2007,10,40,5700,773
"Suriname","Brokopondo",NA,"SR","region",2008,9,33,4762,633
"Suriname","Brokopondo",NA,"SR","region",2009,15,44,5233,745
"Suriname","Brokopondo",NA,"SR","region",2010,32,17,5304,782
"Suriname","Brokopondo",NA,"SR","region",2011,19,11,3814,718
"Suriname","Brokopondo",NA,"SR","region",2012,37,9,4534,947
"Suriname","Brokopondo",NA,"SR","region",2013,0,9,5128,1008
"Suriname","Brokopondo",NA,"SR","region",2014,2,6,4648,771
"Suriname","Brokopondo",NA,"SR","region",2015,7,5,4528,754
"Suriname","Brokopondo",NA,"SR","region",2016,5,2,4755,661
"Suriname","Brokopondo",NA,"SR","region",2017,3,2,3485,556
"Suriname","Brokopondo",NA,"SR","region",2018,1,2,3921,522
"Suriname","Brokopondo",NA,"SR","region",2019,2,1,5164,478
"Suriname","Oost Suriname",NA,"SR","region",2000,NA,5361,4399,957
"Suriname","Oost Suriname",NA,"SR","region",2001,NA,6468,4335,998
"Suriname","Oost Suriname",NA,"SR","region",2002,NA,5744,5571,1017
"Suriname","Oost Suriname",NA,"SR","region",2003,NA,9891,6359,1044
"Suriname","Oost Suriname",NA,"SR","region",2004,NA,15911,7108,822
"Suriname","Oost Suriname",NA,"SR","region",2005,NA,8581,7565,886
"Suriname","Oost Suriname",NA,"SR","region",2006,17,1227,7368,880
"Suriname","Oost Suriname",NA,"SR","region",2007,16,176,6132,859
"Suriname","Oost Suriname",NA,"SR","region",2008,26,178,6388,894
"Suriname","Oost Suriname",NA,"SR","region",2009,24,77,6537,900
"Suriname","Oost Suriname",NA,"SR","region",2010,59,15,5936,828
"Suriname","Oost Suriname",NA,"SR","region",2011,17,16,4262,557
"Suriname","Oost Suriname",NA,"SR","region",2012,37,7,5473,660
"Suriname","Oost Suriname",NA,"SR","region",2013,9,7,5621,567
"Suriname","Oost Suriname",NA,"SR","region",2014,56,5,4046,326
"Suriname","Oost Suriname",NA,"SR","region",2015,29,3,4500,409
"Suriname","Oost Suriname",NA,"SR","region",2016,31,0,3488,287
"Suriname","Oost Suriname",NA,"SR","region",2017,4,4,3249,236
"Suriname","Oost Suriname",NA,"SR","region",2018,0,3,3367,264
"Suriname","Oost Suriname",NA,"SR","region",2019,17,1,3916,274
